pipeline,meteor,cosine_sim,bertscore_f1,completeness,hallucination,irrelevance,latency_sec
vector_llama,0.0,0.7825621490486387,0.8905287981033325,0.4624148701278311,0.0028261082227497,0.3330799778624886,2.164578215281169
vector_mistral,0.0,0.8400522137853333,0.9152437448501588,0.4546870189544366,0.0032673963971319,0.095673156383574,1.0393176476160686
vector_qwen,0.0,0.797191760308512,0.8859226703643799,0.4639207611634611,0.0073310722359262,0.0003957654621428,4.505634872118632
graph_llama,0.0,0.5881932859257318,0.7572262287139893,0.2013083111061437,0.0881138730241218,0.4206547455088517,7.378591076533
graph_mistral,0.0,0.7132602011278028,0.8697357773780823,0.289229291440633,0.1053031841341483,0.0393163350986555,4.548923365275065
graph_qwen,0.0,0.6837175940279618,0.8581469655036926,0.3119448480129903,0.1033827123232185,0.1124241940072836,9.462379495302836
