pipeline,meteor,faithfulness,hallucination_risk,answer_relevance,context_relevance,completeness_rougeL_recall,hallucination,irrelevance,completeness,latency_sec
vector_llama,0.0,0.2838589864084497,0.0028261082227497053,0.6669200221375112,0.9435016934635226,0.46241487012783117,0.0028261082227497053,0.3330799778624886,0.46241487012783117,2.1645782152811686
vector_mistral,0.0,0.1967959924057747,0.0032673963971319607,0.9043268436164259,0.9435016934635226,0.4546870189544366,0.0032673963971319607,0.09567315638357408,0.4546870189544366,1.0393176476160686
vector_qwen,0.0,0.2733438074918619,0.007331072235926209,0.9996042345378572,0.9435016934635226,0.46392076116346115,0.007331072235926209,0.00039576546214286447,0.46392076116346115,4.505634872118632
graph_llama,0.0,0.3029137844704868,0.08811387302412185,0.5793452544911483,0.23508168981275238,0.20130831110614372,0.08811387302412185,0.4206547455088517,0.20130831110614372,7.378591076533
graph_mistral,0.0,0.3499092663012561,0.10530318413414837,0.9606836649013445,0.23141217247800122,0.289229291440633,0.10530318413414837,0.03931633509865558,0.289229291440633,4.548923365275065
graph_qwen,0.0,0.1597899679162462,0.10338271232321858,0.8875758059927162,0.2430774006864066,0.3119448480129903,0.10338271232321858,0.11242419400728362,0.3119448480129903,9.462379495302836
