pipeline,meteor,bertscore_f1,cosine_sim,avg_latency_sec
graph_llama,0.0,0.8604758381843567,0.6650943371898781,12.334872802098593
graph_llama,0.0,0.8462952971458435,0.60902708661991,14.13589804172516
graph_mistral,0.0,0.8695101141929626,0.6813149027564097,4.769273348649343
graph_qwen,0.0,0.8656222224235535,0.7049410215493968,18.099447015921275
vector_llama,0.0,0.8350063562393188,0.7813340671077926,11.908666412035624
vector_mistral,0.0,0.912589430809021,0.8295140908461356,1.3239297270774841
vector_qwen,0.0,0.8621297478675842,0.7923777411905188,15.5405522108078
